,Item
Coffee,5471
Bread,3325
Tea,1435
Cake,1025
Pastry,856
Sandwich,771
Medialuna,616
Hot chocolate,590
Cookies,540
Brownie,379
Farm House,374
Muffin,370
Alfajores,369
Juice,369
Soup,342
Scone,327
Toast,318
Scandinavian,277
Truffles,193
Coke,185
Spanish Brunch,172
Fudge,159
Baguette,152
Jam,149
Tiffin,146
Mineral water,136
Jammie Dodgers,125
Chicken Stew,123
Hearty & Seasonal,107
Salad,99
Frittata,81
Smoothies,77
Keeping It Local,63
The Nomad,58
Focaccia,54
Vegan mincepie,54
Bakewell,48
Tartine,47
Afternoon with the baker,44
Extra Salami or Feta,38
Art Tray,38
Granola,28
Eggs,28
Tshirt,21
My-5 Fruit Shoot,18
Ella's Kitchen Pouches,17
Vegan Feast,16
Crisps,14
Valentine's card,13
Dulce de Leche,13
Pick and Mix Bowls,12
Kids biscuit,12
Duck egg,12
Christmas common,11
Tacos/Fajita,11
Mighty Protein,11
Chocolates,10
Postcard,10
Gingerbread syrup,9
Nomad bag,8
Drinking chocolate spoons ,8
Muesli,8
Argentina Night,7
Victorian Sponge,7
Coffee granules ,7
Empanadas,7
Crepes,6
Half slice Monster ,6
Lemon and coconut,6
Pintxos,6
Honey,6
Basket,6
Panatone,5
Mortimer,5
Bare Popcorn,5
Bread Pudding,4
Caramel bites,3
Brioche and salami,3
Cherry me Dried fruit,3
Raspberry shortbread sandwich,3
Spread,2
Fairy Doors,2
Hack the stack,2
Bowl Nic Pitt,2
Chimichurri Oil,2
Siblings,2
Chicken sand,1
The BART,1
Adjustment,1
Bacon,1
Gift voucher,1
Olum & polenta,1
Raw bars,1
Polenta,1
